Week,Pump,Day,Date,gpd,amp
1,p5,1,1/1/2017,2470,10.26
1,p5,2,1/2/2017,2305,10.22
1,p5,3,1/3/2017,3491.5,10.15
1,p5,4,1/4/2017,4329,10.13
1,p5,5,1/5/2017,3698.5,10.11
1,p5,6,1/6/2017,3176,10.03
1,p5,7,1/7/2017,4814,10.03
2,p5,8,1/8/2017,8204,10.01
2,p5,9,1/9/2017,9609,9.86
2,p5,10,1/10/2017,13622.5,9.76
2,p5,11,1/11/2017,13140,9.72
2,p5,12,1/12/2017,8715,9.64
2,p5,13,1/13/2017,7988.5,9.59
2,p5,14,1/14/2017,6630,9.64
3,p5,15,1/15/2017,6476,9.52
3,p5,16,1/16/2017,5387.5,9.59
3,p5,17,1/17/2017,5185,9.45
3,p5,18,1/18/2017,9473.5,9.49
3,p5,19,1/19/2017,12862.5,9.4
3,p5,20,1/20/2017,15526.5,9.43
3,p5,21,1/21/2017,14357.5,9.33
4,p5,22,1/22/2017,13012.5,9.32
4,p5,23,1/23/2017,10865,9.27
4,p5,24,1/24/2017,9262.5,9.25
4,p5,25,1/25/2017,7671.5,9.25
4,p5,26,1/26/2017,5966.5,9.17
4,p5,27,1/27/2017,6151.5,9.18
4,p5,28,1/28/2017,5239,9.17
5,p5,29,1/29/2017,5167.5,9.14
5,p5,30,1/30/2017,4400,9.18
5,p5,31,1/31/2017,4275,9.18
1,p6,1,1/1/2017,2943.5,11.95
1,p6,2,1/2/2017,8176,12.14
1,p6,3,1/3/2017,7413.5,11.92
1,p6,4,1/4/2017,6647.5,11.24
1,p6,5,1/5/2017,6281.5,11.18
1,p6,6,1/6/2017,11260,11.05
1,p6,7,1/7/2017,9261,11.03
2,p6,8,1/8/2017,9830,10.97
2,p6,9,1/9/2017,12387.5,10.98
2,p6,10,1/10/2017,9107.5,10.98
2,p6,11,1/11/2017,7513.5,11
2,p6,12,1/12/2017,6355,10.84
2,p6,13,1/13/2017,5785,10.87
2,p6,14,1/14/2017,5650,10.64
3,p6,15,1/15/2017,5243.5,10.51
3,p6,16,1/16/2017,5294,10.72
3,p6,17,1/17/2017,6995,10.44
3,p6,18,1/18/2017,7288.5,10.48
3,p6,19,1/19/2017,6327.5,10.38
3,p6,20,1/20/2017,5471,10.37
3,p6,21,1/21/2017,5806.5,10.3
4,p6,22,1/22/2017,5473.5,10.28
4,p6,23,1/23/2017,5119,10.14
4,p6,24,1/24/2017,5810,10.03
4,p6,25,1/25/2017,4142.5,9.95
4,p6,26,1/26/2017,4914,10.08
4,p6,27,1/27/2017,4201,9.92
4,p6,28,1/28/2017,4364,9.69
5,p6,29,1/29/2017,3931,9.8
5,p6,30,1/30/2017,5531.5,9.72
5,p6,31,1/31/2017,4525,9.76
