Month,Day,Year,date,precip,wnd,solr,rh,pet,atmp,dpnt,stmp4,stmp8
1,1,2013,1/1/2013,0,17.7,2.98,94,0.02,2.111111111,1.222222222,-0.111111111,0.611111111
1,2,2013,1/2/2013,0,7,1.83,96,0.01,0,-0.5,0,0.722222222
1,3,2013,1/3/2013,0,12.2,1.96,96.6,0.01,-0.888888889,-1.388888889,0.111111111,0.777777778
1,4,2013,1/4/2013,0,17.7,5.71,91.7,0.03,-2.388888889,-3.611111111,0.222222222,0.888888889
1,5,2013,1/5/2013,0,13.5,2.37,93.2,0.01,-3.888888889,-4.777777778,0.222222222,0.888888889
1,6,2013,1/6/2013,0,9.7,2.41,95.7,0.01,0.388888889,-0.277777778,0.222222222,0.888888889
1,7,2013,1/7/2013,0,17.9,8.75,85.1,0.03,-11.27777778,-13.27777778,0.111111111,0.888888889
1,8,2013,1/8/2013,0,12.3,9.41,80.1,0.03,-12.5,-15.22222222,-0.722222222,0.611111111
1,9,2013,1/9/2013,0,8.3,8.68,83,0.04,-8.277777778,-10.77777778,-1.222222222,0.277777778
1,10,2013,1/10/2013,0,15,2.49,89.3,0.01,-1.611111111,-3.222222222,-0.888888889,0.222222222
1,11,2013,1/11/2013,0,6.2,2.28,98.1,0.01,0.777777778,0.611111111,-0.277777778,0.277777778
1,12,2013,1/12/2013,0.0254,8.2,1.67,98.7,0.01,0.722222222,0.5,-0.222222222,0.388888889
1,13,2013,1/13/2013,0,12.2,3.32,94.8,0.02,-4.388888889,-5.111111111,-0.111111111,0.5
1,14,2013,1/14/2013,0,17.6,11.2,74.5,0.03,-17.11111111,-20.61111111,-0.888888889,0.611111111
1,15,2013,1/15/2013,0,12.3,11.8,71.3,0.02,-22.61111111,-26.38888889,-3.111111111,0.222222222
1,16,2013,1/16/2013,0.0508,13,2.15,86.8,0.01,-15.72222222,-17.38888889,-3.722222222,-0.611111111
1,17,2013,1/17/2013,0.0508,17.8,11.99,85.1,0.03,-15.5,-17.5,-2.388888889,-0.611111111
1,18,2013,1/18/2013,0,14.6,10.43,75.8,0.01,-25.61111111,-28.72222222,-3.888888889,-1.222222222
1,19,2013,1/19/2013,0,10.4,5.94,82.1,0.01,-20.88888889,-23.11111111,-4.277777778,-1.611111111
1,20,2013,1/20/2013,0.0762,5.2,11.79,88.9,0.03,-16.5,-17.88888889,-3.111111111,-1.222222222
1,21,2013,1/21/2013,0,8.1,10.91,90,0.03,-16.27777778,-17.5,-2.722222222,-1
1,22,2013,1/22/2013,0.0254,8.6,10.39,95.3,0.04,-5.222222222,-5.888888889,-2.111111111,-0.777777778
1,23,2013,1/23/2013,0.0508,11.7,2.84,99.1,0.01,1.277777778,1.222222222,-1.111111111,-0.388888889
1,24,2013,1/24/2013,0,7.3,2.7,99.3,0.01,2.611111111,2.5,-0.388888889,0.111111111
1,25,2013,1/25/2013,1.143,9.7,1.46,99.8,0.01,2.277777778,2.277777778,-0.277777778,0.277777778
1,26,2013,1/26/2013,0.0254,17.6,2.62,96.8,0.01,-2.722222222,-3.222222222,-0.222222222,0.388888889
1,27,2013,1/27/2013,1.5748,11.4,1.12,99.6,0.01,2.111111111,2,-0.222222222,0.388888889
1,28,2013,1/28/2013,0.6604,19,1.97,95.8,0.01,-1.888888889,-2.5,-0.222222222,0.5
1,29,2013,1/29/2013,0,6.9,6.42,93.8,0.03,-2.5,-3.388888889,-0.222222222,0.5
1,30,2013,1/30/2013,0,12,6.07,97.2,0.03,-3.777777778,-4.222222222,-0.222222222,0.5
1,31,2013,1/31/2013,0,11.3,14.58,90.4,0.04,-14.5,-15.72222222,-0.388888889,0.388888889
2,1,2013,2/1/2013,0.0254,7.5,15,88.7,0.05,-14.11111111,-15.61111111,-1,0.222222222
2,2,2013,2/2/2013,0,17.1,11.62,90.7,0.05,-5.111111111,-6.388888889,-1.222222222,0
2,3,2013,2/3/2013,0,11.8,14.5,81.2,0.06,-8.388888889,-11.11111111,-1.5,-0.111111111
2,4,2013,2/4/2013,0,7,13.81,86.1,0.06,-6,-8.111111111,-1.5,-0.222222222
2,5,2013,2/5/2013,0,7.7,13.65,89.6,0.07,-4.111111111,-5.611111111,-1.388888889,-0.222222222
2,6,2013,2/6/2013,0,12.4,13.85,88.5,0.08,-0.722222222,-2.388888889,-1.222222222,-0.111111111
2,7,2013,2/7/2013,0,16.5,8.71,88,0.04,-6.111111111,-7.777777778,-1.5,-0.222222222
2,8,2013,2/8/2013,0.1016,14.5,1.59,94.8,0.01,-8.611111111,-9.277777778,-2.388888889,-0.611111111
2,9,2013,2/9/2013,0.0254,14.4,9.45,91.1,0.03,-10.77777778,-11.88888889,-3.388888889,-1.222222222
2,10,2013,2/10/2013,0,7.9,14.02,85.6,0.05,-9.5,-11.5,-4.111111111,-1.888888889
2,11,2013,2/11/2013,0.0254,11.4,15.29,84.8,0.07,-6.888888889,-9,-3.388888889,-1.777777778
2,12,2013,2/12/2013,0,15.3,2.34,96.7,0.01,-2.722222222,-3.222222222,-2.277777778,-1.388888889
2,13,2013,2/13/2013,0,13.4,11.92,94.1,0.05,-3.388888889,-4.222222222,-2,-1.111111111
2,14,2013,2/14/2013,0,14.7,15.22,86.7,0.09,1.5,-0.611111111,-1.5,-0.888888889
2,15,2013,2/15/2013,0,9.1,15.77,93,0.09,1.722222222,0.722222222,-0.611111111,-0.277777778
2,16,2013,2/16/2013,0,8.3,15.61,93.4,0.09,1.111111111,0.222222222,-0.5,-0.111111111
2,17,2013,2/17/2013,0,12,12.29,92.2,0.08,4.888888889,3.722222222,-0.277777778,0.111111111
2,18,2013,2/18/2013,0,12.7,13.2,89.9,0.09,6.777777778,5.222222222,-0.222222222,0.222222222
2,19,2013,2/19/2013,0,19.5,11.44,93.5,0.09,11.72222222,10.61111111,-0.111111111,0.277777778
2,20,2013,2/20/2013,0,13.1,3.85,98.4,0.02,7.722222222,7.5,0.888888889,0.388888889
2,21,2013,2/21/2013,0,10.2,5.27,96.1,0.03,0.388888889,-0.111111111,0.611111111,0.5
2,22,2013,2/22/2013,0,17.3,3.2,94.8,0.02,-1.388888889,-2.111111111,0.111111111,0.5
2,23,2013,2/23/2013,0.6858,2.2,5.59,97.1,0.03,-3.222222222,-3.611111111,0,0.611111111
